genus,lat_range_z_trans,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Abajudon,-0.29742455904134807,0,0,0,1,0
Abdalodon,-0.29742455904134807,0,0,0,1,0
Acratophorus,-0.29742455904134807,0,0,0,1,0
Adelobasileus,-0.29742455904134807,0,0,1,0,0
Aelurognathus,1.8406948480773286,0,0,0,1,0
Aelurosaurus,-0.15234560313205725,0,0,0,1,0
Aelurosuchus,-0.29742455904134807,0,0,0,1,0
Agudotherium,-0.29742455904134807,0,0,0,1,0
Akidnognathus,-0.15234560313205725,0,0,0,1,0
Aleodon,-0.14127124304044952,0,0,0,1,0
Alepognathus,-0.29742455904134807,0,0,0,1,0
Alopecideops,-0.29742455904134807,0,0,0,1,0
Alopecodon,-0.29742455904134807,0,0,0,1,0
Alopecognathus,-0.29742455904134807,0,0,0,1,0
Alopecorhinus,-0.29742455904134807,0,0,0,1,0
Aloposaurus,0.6687695277866947,0,0,0,1,0
Alrausuchus,-0.29742455904134807,0,1,0,0,0
Andescynodon,-0.29742455904134807,0,0,0,1,0
Angelosaurus,-0.29742455904134807,0,0,1,0,0
Angonisaurus,1.4377472525838702,0,0,0,1,1
Annatherapsidus,-0.14923249072816314,0,1,0,0,0
Anningia,-0.29742455904134807,0,0,0,1,0
Anomocephalus,-0.29742455904134807,0,0,0,1,0
Antecosuchus,-0.29742455904134807,0,1,0,0,0
Anteosaurus,6.167515769041902,0,1,0,1,0
Apsisaurus,-0.29742455904134807,0,0,1,0,0
Archaeosyodon,-0.29742455904134807,0,1,0,0,0
Arctognathus,0.6687695277866947,0,0,0,1,0
Arctops,-0.15234560313205725,0,0,0,1,0
Arctotraversodon,-0.29742455904134807,0,0,1,0,0
Arisierpeton,-0.29742455904134807,0,0,1,0,0
Ascendonanus,-0.29742455904134807,0,0,1,0,0
Aulacephalodon,0.06436447304519623,0,0,0,1,0
Aulacocephalus,-0.29742455904134807,0,0,0,1,0
Australobarbarus,-0.29742455904134807,0,1,0,0,0
Australosyodon,-0.29742455904134807,0,0,0,1,0
Avenantia,-0.29742455904134807,0,0,0,1,0
Baldwinonus,-0.29742455904134807,0,0,1,0,0
Basilodon,-0.15234560313205725,0,0,0,1,0
Bauria,-0.17428317963991774,0,0,0,1,0
Beishanodon,-0.29742455904134807,0,1,0,0,0
Biarmosuchoides,-0.29742455904134807,0,1,0,0,0
Biarmosuchus,-0.18040948824419023,0,1,0,0,0
Biseridens,-0.29742455904134807,0,1,0,0,0
Blattoidealestes,-0.29742455904134807,0,0,0,1,0
Bolodon,-0.29742455904134807,0,1,0,0,0
Bolotridon,-0.29742455904134807,0,0,0,1,0
Bonacynodon,-0.27017571365223675,0,0,0,1,0
Boreogomphodon,-0.14038331476116414,0,0,1,0,0
Botucaraitherium,-0.29742455904134807,0,0,0,1,0
Brachyprosopus,-0.14077731765702942,0,0,0,1,0
Brachyzostrodon,0.28359633365458975,0,1,0,0,0
Brasilitherium,-0.29742455904134807,0,0,0,1,0
Brasilodon,-0.29742455904134807,0,0,0,1,0
Bulbasaurus,-0.29742455904134807,0,0,0,1,0
Bullacephalus,-0.29742455904134807,0,0,0,1,0
Burnetia,-0.29742455904134807,0,0,0,1,0
Cabarzia,-0.29742455904134807,0,0,1,0,0
Callibrachion,-0.29742455904134807,0,0,1,0,0
Candelariodon,-0.29742455904134807,0,0,0,1,0
Caodeyao,-0.29742455904134807,0,1,0,0,0
Casea,-0.1589281517441207,0,0,1,0,0
Cerdorhinus,-0.29742455904134807,0,0,0,1,0
Cerdosuchus,-0.29742455904134807,0,0,0,1,0
Chalepotherium,-0.29742455904134807,0,1,0,0,0
Chaliminia,-0.29742455904134807,0,0,0,1,0
Charassognathus,-0.29742455904134807,0,0,0,1,0
Chiniquodon,-0.0019459522845807246,0,0,0,1,0
Choerosaurus,-0.29742455904134807,0,0,0,1,0
Chthomaloporus,-0.29742455904134807,0,1,0,0,0
Chthonosaurus,-0.29742455904134807,0,1,0,0,0
Cistecephaloides,-0.29742455904134807,0,0,0,1,0
Cistecephalus,0.6687695277866947,0,0,0,1,0
Cistecynodon,-0.29742455904134807,0,0,0,1,0
Clelandina,-0.15234560313205725,0,0,0,1,0
Clepsydrops,-0.29742455904134807,0,0,1,0,0
Colobodectes,-0.02870275750165918,0,0,0,1,0
Compsodon,0.6687695277866947,0,0,0,1,0
Cotylorhynchus,-0.1949880164217558,0,0,1,0,0
Counillonia,-0.29742455904134807,0,0,1,0,0
Cricodon,0.7568088995641599,0,0,0,1,0
Criocephalosaurus,-0.29742455904134807,0,0,0,1,0
Cromptodon,-0.29742455904134807,0,0,0,1,0
Cryptocynodon,-0.08071448286409458,0,0,0,1,0
Ctenorhachis,-0.29742455904134807,0,0,1,0,0
Ctenospondylus,-0.14201564389279658,0,0,1,0,0
Cutleria,-0.29742455904134807,0,0,1,0,0
Cynariognathus,-0.29742455904134807,0,0,0,1,0
Cyniscops,-0.29742455904134807,0,0,0,1,0
Cynognathus,1.4377472525838702,0,0,0,1,1
Cynosaurus,-0.15234560313205725,0,0,0,1,0
Cyonosaurus,-0.12923416833382992,0,0,0,1,0
Dalongkoua,-0.29742455904134807,0,1,0,0,0
Daptocephalus,0.6902691068489532,0,0,0,1,0
Daqingshanodon,-0.29742455904134807,0,1,0,0,0
Davletkulia,-0.29742455904134807,0,1,0,0,0
Delectosaurus,-0.11005905491186325,0,1,0,0,0
Delphinognathus,-0.29742455904134807,0,0,0,1,0
Deuterosaurus,-0.17417509418705798,0,1,0,0,0
Diademodon,1.4377472525838702,0,0,0,1,1
Dicynodon,6.526876648861864,0,1,0,1,0
Dicynodontipus,-0.29742455904134807,0,0,0,1,0
Dicynodontoides,1.0173413428382962,0,0,0,1,0
Diegocanis,-0.29742455904134807,0,0,0,1,0
Digalodon,-0.15234560313205725,0,0,0,1,0
Diictodon,7.378515237349116,0,1,0,1,0
Diictodontoides,-0.29742455904134807,0,0,0,1,0
Dimetrodon,0.8676168490289189,0,0,1,0,0
Dinanomodon,-0.14968431305727053,0,0,0,1,0
Dinodontosaurus,-0.23852804169323108,0,0,0,1,0
Dinogorgon,0.6687695277866947,0,0,0,1,0
Dinosaurus,-0.29742455904134807,0,1,0,0,0
Dolichuranus,-0.2508887443546358,0,0,0,1,0
Dolomitipes,-0.12624925030425896,0,0,0,1,0
Dromatherium,-0.29742455904134807,0,0,1,0,0
Dvinia,-0.29742455904134807,0,1,0,0,0
Ecteninion,-0.29742455904134807,0,0,0,1,0
Edaphosaurus,0.9355806047451801,0,0,1,0,0
Elephantosaurus,-0.29742455904134807,0,1,0,0,0
Elliotsmithia,-0.29742455904134807,0,0,0,1,0
Elph,-0.29742455904134807,0,1,0,0,0
Emydochampsa,-0.29742455904134807,0,0,0,1,0
Emydops,0.6687695277866947,0,0,0,1,0
Emydorhinus,-0.29742455904134807,0,0,0,1,0
Emydorhynchus,-0.29742455904134807,0,0,0,1,0
Emyduranus,-0.29742455904134807,0,0,0,1,0
Endothiodon,2.4360031294722853,0,0,1,1,0
Ennatosaurus,2.0091582173936984,0,1,1,0,0
Eodicynodon,-0.29742455904134807,0,0,0,1,0
Eoraetia,-0.29742455904134807,0,1,0,0,0
Eosimops,-0.2514763019036145,0,0,0,1,0
Eothyris,-0.29742455904134807,0,0,1,0,0
Eozostrodon,-0.29742455904134807,0,1,0,0,0
